1,2,3,3,3.1,3.09090909090909,3.6
2,3,2.33333333333333,1.33333333333333,1.3,1.36363636363636,1
2,2,1.66666666666667,1.33333333333333,1.2,1.81818181818182,1
2,2,2.33333333333333,2.33333333333333,2.1,2.09090909090909,2.6
2,3,4.33333333333333,1.66666666666667,3,2.9,4
1,1,3.33333333333333,1.33333333333333,1.3,2.45454545454545,3
1,1,3,1.33333333333333,2.6,2.36363636363636,1.6
2,1,2,1,1.9,2.09090909090909,1
2,2,2,2,2,1.90909090909091,3.4
2,2,2.66666666666667,1.66666666666667,2,2,1
2,3,2.33333333333333,1.33333333333333,1,1.7,2.2
2,3,5,3,1,3.6,3.4
2,2,1.33333333333333,1.33333333333333,1.5,1.36363636363636,1
2,2,3.66666666666667,1.66666666666667,3.16666666666667,2.09090909090909,4
2,2,5,1.33333333333333,2.7,3.09090909090909,2.6
2,2,2.33333333333333,1.33333333333333,1.22222222222222,1.45454545454545,3
2,2,3.33333333333333,2.33333333333333,1,1.90909090909091,1
1,2,4,3,2.4,2.09090909090909,1
1,1,1.66666666666667,1,3,2.36363636363636,2.8
2,2,1.66666666666667,1.33333333333333,3.1,2.8,3.2
2,2,2,1,1.3,2,1
2,2,2.66666666666667,1.66666666666667,1.4,1.63636363636364,1
2,2,2,1.33333333333333,2.4,2.63636363636364,1
2,1,2.33333333333333,1.66666666666667,1.9,1.54545454545455,1
1,3,3,3,3,2.45454545454545,2.8
1,2,3.66666666666667,1.66666666666667,2.4,1.5,1.4
1,2,3,2,2.8,2.90909090909091,3.4
2,3,3,1.33333333333333,4,3.18181818181818,3.4
1,2,3.66666666666667,2.66666666666667,2.75,1.8,4
1,1,2,2,2.2,1.63636363636364,1
2,3,1.66666666666667,1,1,1.36363636363636,1
1,1,3,2.66666666666667,2.8,3,3.8
2,3,3.33333333333333,1,2.1,2.18181818181818,1.8
2,3,3,3,3,3.18181818181818,1
2,3,3.66666666666667,2.66666666666667,2.1,2.5,4.6
1,1,1.33333333333333,1,1.22222222222222,1.63636363636364,2.2
2,2,4,1.33333333333333,3.1,2.90909090909091,2
2,2,3,1.66666666666667,2.7,2.45454545454545,1
2,3,2,2,2,2.36363636363636,2.8
2,3,3.33333333333333,2,1,1.09090909090909,1
1,1,3,3,3,3.45454545454545,2.2
2,2,1,1.33333333333333,1,1.27272727272727,2.2
2,2,1,1.66666666666667,1,1,2.2
1,1,2.66666666666667,2,1.7,2.4,3.8
1,2,1,1.33333333333333,1,1,2.2
1,2,1.33333333333333,1,1.5,2.54545454545455,2.2
2,2,3.66666666666667,1.66666666666667,2.3,2.90909090909091,1
2,2,1.66666666666667,1.66666666666667,1,1.36363636363636,1
2,1,1,2.33333333333333,1.2,1.54545454545455,1.4
2,1,3,2.66666666666667,1.1,2.81818181818182,1
2,2,1,1.66666666666667,1,1,2.2
2,2,1,1,1,1,2.2
2,3,3,2.5,1.2,2,1
2,1,2.33333333333333,1,1,1.54545454545455,1
2,1,3.33333333333333,2.33333333333333,2.3,1.18181818181818,1
2,2,1,3,1,1.09090909090909,2.2
1,1,1,1,1,1.63636363636364,2.2
2,3,2,1.33333333333333,1.1,1.09090909090909,1
1,3,1.66666666666667,1,1.2,2.5,2.8
1,2,1.66666666666667,1.33333333333333,1,2,2.2
2,1,2,1,1,1.18181818181818,1
2,2,2.33333333333333,1,1.3,1.36363636363636,1
1,2,1.66666666666667,1,1,1,1
2,2,1,1,1.5,1.27272727272727,1
2,1,3,1.33333333333333,1,1.09090909090909,2.2
2,2,3.66666666666667,1.33333333333333,1.8,2.36363636363636,1
1,1,3,1,2.8,2.72727272727273,1
2,2,3,1.33333333333333,3,2.4,4.8
1,2,1.33333333333333,2.66666666666667,1,1.09090909090909,1
2,2,2.66666666666667,1.66666666666667,2.4,1.5,2.8
1,2,2,1,1.6,1.36363636363636,1
2,2,2.66666666666667,2,1,1,1
2,2,3.33333333333333,2.33333333333333,3,2.54545454545455,3.4
2,3,2,1.66666666666667,1,2.6,1
1,2,2.33333333333333,2.5,2.5,3.72727272727273,1
1,2,1,1,1.4,2.27272727272727,1
1,2,1.33333333333333,2,1.4,1.27272727272727,1
2,2,2.33333333333333,2,3,3,4
